id,broadband_type
6597,broadband_type_8
8011,broadband_type_8
2597,broadband_type_8
5022,broadband_type_8
6852,broadband_type_8
5611,broadband_type_8
14838,broadband_type_8
2588,broadband_type_8
4848,broadband_type_8
6914,broadband_type_8
5337,broadband_type_8
10460,broadband_type_8
15494,broadband_type_8
10289,broadband_type_8
8587,broadband_type_8
12943,broadband_type_8
590,broadband_type_8
16416,broadband_type_8
3399,broadband_type_8
1505,broadband_type_8
9446,broadband_type_8
12482,broadband_type_8
16538,broadband_type_8
2250,broadband_type_8
5259,broadband_type_8
5259,broadband_type_2
12751,broadband_type_8
5195,broadband_type_8
1233,broadband_type_8
4703,broadband_type_8
17508,broadband_type_8
6008,broadband_type_8
2906,broadband_type_8
1247,broadband_type_8
17909,broadband_type_8
8148,broadband_type_8
17595,broadband_type_8
7515,broadband_type_8
17041,broadband_type_8
17041,broadband_type_1
6692,broadband_type_8
14595,broadband_type_8
15952,broadband_type_8
9664,broadband_type_8
3952,broadband_type_8
8461,broadband_type_8
6743,broadband_type_8
16097,broadband_type_8
1235,broadband_type_8
9317,broadband_type_8
9651,broadband_type_8
7832,broadband_type_8
5280,broadband_type_8
282,broadband_type_8
4574,broadband_type_8
2043,broadband_type_8
6693,broadband_type_8
16479,broadband_type_8
7466,broadband_type_8
4814,broadband_type_8
10842,broadband_type_8
10039,broadband_type_8
4337,broadband_type_8
4787,broadband_type_8
16586,broadband_type_8
8796,broadband_type_8
6954,broadband_type_8
17648,broadband_type_8
1849,broadband_type_8
16949,broadband_type_8
14593,broadband_type_8
12587,broadband_type_8
2240,broadband_type_8
5356,broadband_type_8
1285,broadband_type_2
17155,broadband_type_2
1308,broadband_type_2
3251,broadband_type_2
9313,broadband_type_2
14926,broadband_type_2
14926,broadband_type_8
17407,broadband_type_2
6395,broadband_type_2
16600,broadband_type_2
137,broadband_type_2
17255,broadband_type_2
8443,broadband_type_2
9291,broadband_type_2
1821,broadband_type_2
13270,broadband_type_2
18500,broadband_type_2
8774,broadband_type_2
1243,broadband_type_2
6474,broadband_type_2
15687,broadband_type_2
16351,broadband_type_2
5163,broadband_type_2
12650,broadband_type_2
7116,broadband_type_2
18189,broadband_type_2
2653,broadband_type_2
3331,broadband_type_2
3375,broadband_type_2
16056,broadband_type_2
14969,broadband_type_2
12825,broadband_type_2
6176,broadband_type_2
15850,broadband_type_2
10825,broadband_type_2
16628,broadband_type_2
3446,broadband_type_2
8716,broadband_type_2
14963,broadband_type_8
12318,broadband_type_8
18076,broadband_type_2
18076,broadband_type_8
11833,broadband_type_2
402,broadband_type_2
1288,broadband_type_2
16595,broadband_type_2
18413,broadband_type_2
9859,broadband_type_2
2578,broadband_type_2
1204,broadband_type_2
4497,broadband_type_2
37,broadband_type_2
3629,broadband_type_2
16795,broadband_type_8
16106,broadband_type_8
8185,broadband_type_8
8235,broadband_type_2
8235,broadband_type_8
14315,broadband_type_8
17756,broadband_type_8
14562,broadband_type_8
8930,broadband_type_8
11231,broadband_type_8
17812,broadband_type_8
3112,broadband_type_8
6253,broadband_type_8
187,broadband_type_8
10816,broadband_type_8
2008,broadband_type_8
10445,broadband_type_8
258,broadband_type_8
15834,broadband_type_8
12334,broadband_type_8
9644,broadband_type_8
14743,broadband_type_8
6208,broadband_type_8
6802,broadband_type_8
14860,broadband_type_8
14899,broadband_type_8
581,broadband_type_8
10985,broadband_type_8
11010,broadband_type_2
722,broadband_type_8
1747,broadband_type_8
1349,broadband_type_8
11444,broadband_type_8
16517,broadband_type_8
16202,broadband_type_8
12511,broadband_type_8
15171,broadband_type_8
3879,broadband_type_8
1863,broadband_type_8
5142,broadband_type_8
6796,broadband_type_8
13838,broadband_type_8
10913,broadband_type_8
6880,broadband_type_8
685,broadband_type_8
10680,broadband_type_8
13845,broadband_type_2
13845,broadband_type_8
17736,broadband_type_8
10319,broadband_type_8
10970,broadband_type_8
13652,broadband_type_8
10161,broadband_type_2
10161,broadband_type_8
725,broadband_type_8
5074,broadband_type_8
5924,broadband_type_8
10516,broadband_type_2
10516,broadband_type_8
6883,broadband_type_2
6883,broadband_type_8
5545,broadband_type_8
14433,broadband_type_8
18058,broadband_type_8
5834,broadband_type_8
4630,broadband_type_8
17414,broadband_type_8
6244,broadband_type_8
3158,broadband_type_8
16320,broadband_type_8
3465,broadband_type_8
13490,broadband_type_8
4628,broadband_type_8
4029,broadband_type_8
15057,broadband_type_8
13522,broadband_type_8
5254,broadband_type_8
14991,broadband_type_1
14991,broadband_type_8
2810,broadband_type_8
5025,broadband_type_8
14112,broadband_type_8
5352,broadband_type_8
7049,broadband_type_8
17758,broadband_type_8
11766,broadband_type_8
1574,broadband_type_8
7237,broadband_type_8
10902,broadband_type_8
9016,broadband_type_8
13955,broadband_type_8
11005,broadband_type_8
16584,broadband_type_8
8277,broadband_type_8
15081,broadband_type_8
18220,broadband_type_8
4595,broadband_type_8
1666,broadband_type_8
7585,broadband_type_8
4309,broadband_type_8
16809,broadband_type_8
2385,broadband_type_8
16139,broadband_type_8
7077,broadband_type_8
11828,broadband_type_8
2774,broadband_type_8
11037,broadband_type_8
11464,broadband_type_8
15801,broadband_type_8
12847,broadband_type_8
4002,broadband_type_8
11100,broadband_type_8
10511,broadband_type_8
14706,broadband_type_8
14706,broadband_type_2
462,broadband_type_8
7885,broadband_type_8
12276,broadband_type_8
10402,broadband_type_8
3412,broadband_type_8
6860,broadband_type_8
11114,broadband_type_8
9907,broadband_type_8
4121,broadband_type_8
10493,broadband_type_8
11770,broadband_type_8
965,broadband_type_8
18004,broadband_type_8
5928,broadband_type_8
7405,broadband_type_8
