id,outage_type
6597,outage_type_2
8011,outage_type_2
2597,outage_type_2
5022,outage_type_1
6852,outage_type_1
5611,outage_type_2
14838,outage_type_1
2588,outage_type_1
4848,outage_type_1
6914,outage_type_1
5337,outage_type_1
10460,outage_type_1
15494,outage_type_1
10289,outage_type_1
8587,outage_type_1
12943,outage_type_1
590,outage_type_2
16416,outage_type_2
3399,outage_type_1
1505,outage_type_1
9446,outage_type_1
12482,outage_type_2
16538,outage_type_1
2250,outage_type_1
5259,outage_type_1
12751,outage_type_2
5195,outage_type_2
1233,outage_type_1
4703,outage_type_1
17508,outage_type_1
6008,outage_type_1
2906,outage_type_2
1247,outage_type_1
17909,outage_type_1
8148,outage_type_1
17595,outage_type_1
7515,outage_type_1
17041,outage_type_1
6692,outage_type_2
14595,outage_type_2
15952,outage_type_1
9664,outage_type_2
3952,outage_type_1
8461,outage_type_2
6743,outage_type_2
16097,outage_type_1
1235,outage_type_1
9317,outage_type_2
9651,outage_type_1
7832,outage_type_1
5280,outage_type_1
282,outage_type_2
4574,outage_type_1
2043,outage_type_2
6693,outage_type_1
16479,outage_type_2
7466,outage_type_1
4814,outage_type_2
10842,outage_type_2
10039,outage_type_2
4337,outage_type_2
4787,outage_type_2
16586,outage_type_1
8796,outage_type_1
6954,outage_type_2
17648,outage_type_2
1849,outage_type_2
16949,outage_type_2
14593,outage_type_2
12587,outage_type_2
2240,outage_type_1
5356,outage_type_1
1285,outage_type_2
17155,outage_type_1
1308,outage_type_2
3251,outage_type_2
9313,outage_type_1
14926,outage_type_2
17407,outage_type_2
6395,outage_type_2
16600,outage_type_2
137,outage_type_2
17255,outage_type_2
8443,outage_type_2
9291,outage_type_2
1821,outage_type_2
13270,outage_type_2
18500,outage_type_2
8774,outage_type_4
1243,outage_type_2
6474,outage_type_2
15687,outage_type_2
16351,outage_type_2
5163,outage_type_2
12650,outage_type_4
7116,outage_type_2
18189,outage_type_2
2653,outage_type_4
3331,outage_type_2
3375,outage_type_2
16056,outage_type_2
14969,outage_type_2
12825,outage_type_2
6176,outage_type_2
15850,outage_type_2
10825,outage_type_2
16628,outage_type_2
3446,outage_type_2
8716,outage_type_1
14963,outage_type_1
12318,outage_type_2
18076,outage_type_1
11833,outage_type_1
402,outage_type_1
1288,outage_type_1
16595,outage_type_1
18413,outage_type_1
9859,outage_type_1
2578,outage_type_1
1204,outage_type_1
4497,outage_type_1
37,outage_type_1
3629,outage_type_1
16795,outage_type_2
16106,outage_type_1
8185,outage_type_1
8235,outage_type_1
14315,outage_type_1
