id,transit_server_type
6597,transit_server_type_11
8011,transit_server_type_15
2597,transit_server_type_15
5022,transit_server_type_15
5022,transit_server_type_11
6852,transit_server_type_11
6852,transit_server_type_15
5611,transit_server_type_15
14838,transit_server_type_15
14838,transit_server_type_11
2588,transit_server_type_15
2588,transit_server_type_11
4848,transit_server_type_11
4848,transit_server_type_15
6914,transit_server_type_11
6914,transit_server_type_15
5337,transit_server_type_15
5337,transit_server_type_11
10460,transit_server_type_15
10460,transit_server_type_11
15494,transit_server_type_11
15494,transit_server_type_15
10289,transit_server_type_11
10289,transit_server_type_15
8587,transit_server_type_11
8587,transit_server_type_15
12943,transit_server_type_11
12943,transit_server_type_15
590,transit_server_type_15
16416,transit_server_type_15
3399,transit_server_type_15
3399,transit_server_type_11
1505,transit_server_type_15
1505,transit_server_type_11
9446,transit_server_type_11
9446,transit_server_type_15
12482,transit_server_type_15
16538,transit_server_type_15
16538,transit_server_type_11
2250,transit_server_type_15
2250,transit_server_type_11
5259,transit_server_type_15
5259,transit_server_type_11
5259,transit_server_type_20
12751,transit_server_type_15
5195,transit_server_type_15
1233,transit_server_type_15
1233,transit_server_type_11
4703,transit_server_type_11
17508,transit_server_type_15
17508,transit_server_type_11
6008,transit_server_type_15
6008,transit_server_type_11
2906,transit_server_type_15
1247,transit_server_type_15
1247,transit_server_type_11
17909,transit_server_type_11
8148,transit_server_type_15
8148,transit_server_type_11
17595,transit_server_type_15
17595,transit_server_type_11
7515,transit_server_type_15
7515,transit_server_type_11
17041,transit_server_type_11
17041,transit_server_type_7
17041,transit_server_type_15
6692,transit_server_type_15
14595,transit_server_type_15
15952,transit_server_type_11
15952,transit_server_type_15
9664,transit_server_type_15
3952,transit_server_type_15
3952,transit_server_type_11
8461,transit_server_type_15
6743,transit_server_type_15
16097,transit_server_type_11
16097,transit_server_type_15
1235,transit_server_type_11
1235,transit_server_type_15
9317,transit_server_type_15
9651,transit_server_type_15
9651,transit_server_type_11
7832,transit_server_type_15
7832,transit_server_type_11
5280,transit_server_type_15
5280,transit_server_type_11
282,transit_server_type_15
4574,transit_server_type_11
4574,transit_server_type_15
2043,transit_server_type_15
6693,transit_server_type_11
6693,transit_server_type_15
16479,transit_server_type_15
7466,transit_server_type_11
7466,transit_server_type_15
4814,transit_server_type_15
10842,transit_server_type_15
10039,transit_server_type_15
4337,transit_server_type_15
4787,transit_server_type_15
16586,transit_server_type_15
16586,transit_server_type_11
8796,transit_server_type_15
8796,transit_server_type_11
6954,transit_server_type_15
17648,transit_server_type_15
1849,transit_server_type_15
16949,transit_server_type_15
14593,transit_server_type_15
12587,transit_server_type_11
2240,transit_server_type_11
5356,transit_server_type_11
1285,transit_server_type_34
1285,transit_server_type_35
17155,transit_server_type_34
17155,transit_server_type_20
17155,transit_server_type_35
1308,transit_server_type_34
1308,transit_server_type_35
3251,transit_server_type_34
3251,transit_server_type_35
9313,transit_server_type_35
9313,transit_server_type_34
9313,transit_server_type_20
14926,transit_server_type_34
14926,transit_server_type_11
14926,transit_server_type_35
17407,transit_server_type_34
17407,transit_server_type_35
6395,transit_server_type_34
6395,transit_server_type_35
16600,transit_server_type_34
16600,transit_server_type_35
137,transit_server_type_35
137,transit_server_type_34
17255,transit_server_type_35
17255,transit_server_type_34
8443,transit_server_type_34
8443,transit_server_type_35
9291,transit_server_type_35
9291,transit_server_type_34
1821,transit_server_type_34
1821,transit_server_type_35
13270,transit_server_type_34
13270,transit_server_type_35
18500,transit_server_type_34
8774,transit_server_type_35
1243,transit_server_type_35
1243,transit_server_type_34
6474,transit_server_type_35
6474,transit_server_type_34
15687,transit_server_type_34
15687,transit_server_type_35
16351,transit_server_type_35
16351,transit_server_type_34
5163,transit_server_type_34
5163,transit_server_type_35
12650,transit_server_type_35
7116,transit_server_type_35
7116,transit_server_type_34
18189,transit_server_type_34
18189,transit_server_type_35
2653,transit_server_type_35
3331,transit_server_type_34
3331,transit_server_type_35
3375,transit_server_type_35
3375,transit_server_type_34
16056,transit_server_type_34
16056,transit_server_type_35
14969,transit_server_type_35
14969,transit_server_type_34
12825,transit_server_type_34
12825,transit_server_type_35
6176,transit_server_type_35
6176,transit_server_type_34
15850,transit_server_type_34
15850,transit_server_type_35
10825,transit_server_type_34
10825,transit_server_type_35
16628,transit_server_type_35
16628,transit_server_type_34
3446,transit_server_type_35
3446,transit_server_type_34
8716,transit_server_type_20
14963,transit_server_type_11
12318,transit_server_type_11
18076,transit_server_type_20
18076,transit_server_type_11
11833,transit_server_type_20
402,transit_server_type_20
1288,transit_server_type_20
16595,transit_server_type_20
18413,transit_server_type_20
9859,transit_server_type_20
2578,transit_server_type_20
1204,transit_server_type_20
4497,transit_server_type_20
37,transit_server_type_20
3629,transit_server_type_20
16795,transit_server_type_11
16106,transit_server_type_11
8185,transit_server_type_11
8235,transit_server_type_20
8235,transit_server_type_9
8235,transit_server_type_11
14315,transit_server_type_11
17756,transit_server_type_11
14562,transit_server_type_11
8930,transit_server_type_11
11231,transit_server_type_11
17812,transit_server_type_11
3112,transit_server_type_11
6253,transit_server_type_15
187,transit_server_type_15
187,transit_server_type_11
10816,transit_server_type_11
10816,transit_server_type_15
2008,transit_server_type_11
2008,transit_server_type_15
10445,transit_server_type_15
10445,transit_server_type_11
258,transit_server_type_11
258,transit_server_type_15
15834,transit_server_type_15
12334,transit_server_type_15
12334,transit_server_type_11
9644,transit_server_type_11
9644,transit_server_type_15
14743,transit_server_type_15
14743,transit_server_type_11
6208,transit_server_type_15
6208,transit_server_type_11
6802,transit_server_type_15
14860,transit_server_type_15
14860,transit_server_type_11
14899,transit_server_type_15
14899,transit_server_type_11
581,transit_server_type_15
10985,transit_server_type_15
11010,transit_server_type_20
722,transit_server_type_11
722,transit_server_type_15
1747,transit_server_type_15
1747,transit_server_type_11
1349,transit_server_type_15
11444,transit_server_type_15
11444,transit_server_type_11
16517,transit_server_type_15
16517,transit_server_type_11
16202,transit_server_type_11
12511,transit_server_type_15
12511,transit_server_type_11
15171,transit_server_type_11
15171,transit_server_type_15
3879,transit_server_type_15
3879,transit_server_type_11
1863,transit_server_type_11
1863,transit_server_type_15
5142,transit_server_type_11
5142,transit_server_type_15
6796,transit_server_type_11
6796,transit_server_type_15
13838,transit_server_type_11
