id,area_code,outage_duration
13366,area_415,1
6783,area_474,0
9519,area_931,1
10202,area_700,1
4555,area_600,2
5281,area_645,0
1872,area_576,0
8729,area_734,1
9312,area_326,0
14880,area_923,0
4558,area_122,0
16109,area_358,0
13381,area_471,0
1116,area_470,0
4246,area_282,0
6047,area_445,1
1373,area_962,2
4228,area_793,0
7301,area_846,1
1436,area_468,0
4849,area_476,0
397,area_737,1
1854,area_467,0
11936,area_445,0
4209,area_1086,2
5032,area_1015,1
988,area_945,0
7415,area_619,0
18290,area_373,0
15982,area_485,0
17822,area_625,1
12257,area_172,1
8984,area_976,2
6084,area_320,1
14361,area_704,2
12378,area_794,0
14181,area_645,0
12573,area_805,0
15461,area_769,0
12153,area_976,1
17450,area_880,0
7278,area_519,0
9107,area_393,0
13965,area_794,0
4340,area_460,0
177,area_124,0
8079,area_1042,1
6249,area_466,0
13427,area_440,0
1381,area_695,1
6162,area_821,2
5720,area_906,0
1777,area_506,0
4105,area_808,0
12760,area_249,0
745,area_272,1
12608,area_429,1
10238,area_467,0
487,area_1010,0
11179,area_1107,0
3462,area_653,1
18360,area_846,0
9593,area_497,0
17821,area_648,1
1805,area_118,0
5923,area_831,1
17515,area_1024,2
17547,area_870,0
3607,area_883,1
2648,area_834,1
14890,area_760,0
5657,area_734,2
9125,area_793,0
17664,area_944,1
12308,area_1018,0
5738,area_471,0
17783,area_527,0
5000,area_7,0
12926,area_648,2
6595,area_803,1
16207,area_249,1
17795,area_187,1
11219,area_380,0
4271,area_821,1
7201,area_1090,2
541,area_488,0
17245,area_803,1
5229,area_496,0
13615,area_1084,1
5504,area_995,2
15694,area_506,0
13894,area_627,1
2199,area_161,0
15418,area_895,1
7210,area_699,0
199,area_126,0
18395,area_846,0
14106,area_852,0
8950,area_1033,1
2707,area_793,0
9500,area_465,0
7464,area_268,1
3409,area_1056,1
12711,area_451,0
5650,area_808,0
9711,area_570,1
10816,area_1007,0
4388,area_797,1
7711,area_974,0
17313,area_344,0
10280,area_388,1
7845,area_923,0
16082,area_73,0
17208,area_837,1
4446,area_455,0
16614,area_778,0
9974,area_773,0
16360,area_476,0
8926,area_600,0
6991,area_794,0
16507,area_81,1
5888,area_450,0
1855,area_662,1
7283,area_222,0
12233,area_1024,0
13062,area_704,1
16832,area_821,2
15267,area_461,0
11318,area_457,0
7400,area_886,0
5386,area_459,0
11231,area_1006,0
14355,area_836,0
16734,area_298,0
10559,area_13,1
4692,area_375,0
13728,area_821,0
12675,area_1107,1
8647,area_696,0
2026,area_1054,1
5261,area_485,0
6732,area_1089,0
5401,area_1107,2
4689,area_980,0
13984,area_684,1
2718,area_476,0
2815,area_459,0
11493,area_135,1
17837,area_466,0
1548,area_1107,2
5703,area_846,2
13992,area_298,1
5237,area_973,0
10693,area_240,0
17348,area_692,1
12235,area_962,1
12269,area_627,1
7232,area_499,0
8902,area_375,0
4880,area_471,0
9867,area_851,0
9551,area_825,1
274,area_244,0
15236,area_477,0
4970,area_794,0
3902,area_9,0
18370,area_967,0
12908,area_444,0
8481,area_1103,1
6261,area_477,0
15419,area_278,0
17042,area_478,0
17585,area_734,2
3968,area_665,0
5064,area_1090,0
379,area_742,0
10937,area_599,1
3164,area_1031,0
3225,area_1033,1
9017,area_459,0
18379,area_691,0
4587,area_879,0
7027,area_963,0
17772,area_257,1
9664,area_1,1
6330,area_460,1
6797,area_313,0
14289,area_763,1
16414,area_179,1
12418,area_864,1
345,area_895,1
2134,area_915,1
5500,area_477,0
134,area_892,2
18110,area_644,2
14354,area_446,1
9976,area_826,1
8577,area_1042,0
17733,area_239,1
9717,area_810,2
17291,area_481,0
3161,area_809,0
15503,area_1060,0
15239,area_7,0
9682,area_815,1
3097,area_821,2
5806,area_1063,0
9473,area_494,0
4512,area_878,0
11190,area_459,0
18507,area_429,0
8523,area_742,0
11232,area_421,0
16037,area_704,1
10653,area_802,1
3320,area_313,0
6839,area_763,1
5249,area_704,2
10833,area_184,1
13823,area_1022,0
10944,area_704,2
14133,area_173,0
570,area_1089,0
6988,area_408,1
14401,area_468,0
